pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
288;1000;59;0.059
289;1000;58;0.058
290;1000;81;0.081
291;1000;81;0.081
292;1000;87;0.087
293;1000;12;0.012
294;1000;46;0.046
295;1000;86;0.086
296;1000;22;0.022
297;1000;81;0.081
298;1000;84;0.084
299;1000;94;0.094
300;1000;84;0.084
301;1000;82;0.082
302;1000;50;0.05
303;1000;3;0.003
304;1000;66;0.066
305;1000;15;0.015
306;1000;41;0.041
307;1000;82;0.082
308;1000;65;0.065
309;1000;8;0.008
310;1000;20;0.02
311;1000;54;0.054
312;1000;80;0.08
313;1000;82;0.082
314;1000;68;0.068
315;1000;3;0.003
316;1000;85;0.085
317;1000;73;0.073
318;1000;64;0.064
319;1000;88;0.088
320;1000;80;0.08
321;1000;12;0.012
322;1000;83;0.083
323;1000;40;0.04
324;1000;50;0.05
325;1000;85;0.085
326;1000;85;0.085
327;1000;30;0.03
328;1000;61;0.061
329;1000;22;0.022
330;1000;74;0.074
331;1000;41;0.041
332;1000;9;0.009
333;1000;84;0.084
334;1000;45;0.045
335;1000;96;0.096
336;1000;24;0.024
337;1000;89;0.089
338;1000;57;0.057
339;1000;66;0.066
340;1000;0;0
341;1000;64;0.064
342;1000;1;0.001
343;1000;84;0.084
344;1000;86;0.086
345;1000;17;0.017
346;1000;0;0
347;1000;84;0.084
348;1000;39;0.039
349;1000;85;0.085
350;1000;0;0
351;1000;74;0.074
352;1000;86;0.086
353;1000;0;0
354;1000;99;0.099
355;1000;6;0.006
356;1000;18;0.018
357;1000;65;0.065
358;1000;86;0.086
359;1000;47;0.047
360;1000;4;0.004
361;1000;86;0.086
362;1000;85;0.085
363;1000;84;0.084
364;1000;82;0.082
365;1000;16;0.016
366;1000;85;0.085
367;1000;83;0.083
368;1000;19;0.019
369;1000;82;0.082
370;1000;97;0.097
371;1000;94;0.094
372;1000;85;0.085
373;1000;84;0.084
374;1000;80;0.08
375;1000;10;0.01
376;1000;41;0.041
377;1000;83;0.083
378;1000;82;0.082
379;1000;3;0.003
380;1000;11;0.011
381;1000;89;0.089
382;1000;28;0.028
383;1000;81;0.081
384;1000;7;0.007
385;1000;21;0.021
386;1000;49;0.049
387;1000;21;0.021
388;1000;85;0.085
389;1000;18;0.018
390;1000;54;0.054
391;1000;84;0.084
392;1000;83;0.083
393;1000;84;0.084
394;1000;6;0.006
395;1000;13;0.013
396;1000;10;0.01
397;1000;82;0.082
398;1000;52;0.052
399;1000;85;0.085
400;1000;9;0.009
401;1000;80;0.08
402;1000;86;0.086
403;1000;54;0.054
404;1000;81;0.081
405;1000;82;0.082
406;1000;95;0.095
407;1000;92;0.092
408;1000;1;0.001
409;1000;83;0.083
410;1000;79;0.079
411;1000;47;0.047
412;1000;86;0.086
413;1000;77;0.077
414;1000;82;0.082
415;1000;24;0.024
416;1000;79;0.079
417;1000;80;0.08
418;1000;48;0.048
419;1000;14;0.014
420;1000;82;0.082
421;1000;7;0.007
422;1000;85;0.085
423;1000;17;0.017
424;1000;48;0.048
425;1000;81;0.081
426;1000;93;0.093
427;1000;1;0.001
428;1000;24;0.024
429;1000;86;0.086
430;1000;52;0.052
431;1000;83;0.083
432;1000;80;0.08
433;1000;42;0.042
434;1000;3;0.003
435;1000;46;0.046
436;1000;14;0.014
437;1000;29;0.029
438;1000;82;0.082
439;1000;81;0.081
440;1000;8;0.008
441;1000;80;0.08
442;1000;7;0.007
443;1000;14;0.014
444;1000;92;0.092
445;1000;87;0.087
446;1000;93;0.093
447;1000;81;0.081
448;1000;83;0.083
449;1000;44;0.044
450;1000;12;0.012
451;1000;80;0.08
452;1000;84;0.084
453;1000;72;0.072
454;1000;85;0.085
455;1000;52;0.052
456;1000;17;0.017
457;1000;24;0.024
458;1000;10;0.01
459;1000;7;0.007
460;1000;92;0.092
461;1000;97;0.097
462;1000;5;0.005
463;1000;96;0.096
464;1000;27;0.027
465;1000;90;0.09
466;1000;89;0.089
467;1000;13;0.013
468;1000;27;0.027
469;1000;70;0.07
470;1000;56;0.056
471;1000;3;0.003
472;1000;52;0.052
473;1000;15;0.015
474;1000;69;0.069
475;1000;84;0.084
476;1000;2;0.002
477;1000;52;0.052
478;1000;85;0.085
479;1000;22;0.022
480;1000;39;0.039
481;1000;81;0.081
482;1000;6;0.006
483;1000;84;0.084
484;1000;84;0.084
485;1000;4;0.004
486;1000;65;0.065
487;1000;10;0.01
488;1000;80;0.08
489;1000;83;0.083
490;1000;21;0.021
491;1000;40;0.04
492;1000;9;0.009
493;1000;50;0.05
494;1000;26;0.026
495;1000;29;0.029
496;1000;86;0.086
497;1000;53;0.053
498;1000;86;0.086
499;1000;82;0.082
500;1000;22;0.022
501;1000;85;0.085
502;1000;85;0.085
503;1000;48;0.048
504;1000;58;0.058
505;1000;85;0.085
506;1000;82;0.082
507;1000;77;0.077
508;1000;51;0.051
509;1000;53;0.053
510;1000;69;0.069
511;1000;18;0.018
512;1000;45;0.045
513;1000;82;0.082
514;1000;80;0.08
515;1000;96;0.096
516;1000;94;0.094
517;1000;83;0.083
518;1000;86;0.086
519;1000;13;0.013
520;1000;91;0.091
521;1000;20;0.02
522;1000;6;0.006
523;1000;5;0.005
524;1000;23;0.023
525;1000;83;0.083
526;1000;83;0.083
527;1000;14;0.014
528;1000;6;0.006
529;1000;89;0.089
530;1000;14;0.014
531;1000;6;0.006
532;1000;82;0.082
533;1000;83;0.083
534;1000;95;0.095
535;1000;23;0.023
536;1000;24;0.024
537;1000;86;0.086
538;1000;79;0.079
539;1000;84;0.084
540;1000;83;0.083
541;1000;14;0.014
542;1000;84;0.084
543;1000;21;0.021
544;1000;40;0.04
545;1000;81;0.081
546;1000;80;0.08
547;1000;18;0.018
548;1000;79;0.079
549;1000;15;0.015
550;1000;23;0.023
551;1000;78;0.078
552;1000;97;0.097
553;1000;82;0.082
