pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
288;1000;46;0.046
289;1000;49;0.049
290;1000;44;0.044
291;1000;79;0.079
292;1000;76;0.076
293;1000;88;0.088
294;1000;59;0.059
295;1000;74;0.074
296;1000;74;0.074
297;1000;21;0.021
298;1000;54;0.054
299;1000;8;0.008
300;1000;5;0.005
301;1000;74;0.074
302;1000;44;0.044
303;1000;2;0.002
304;1000;10;0.01
305;1000;73;0.073
306;1000;75;0.075
307;1000;62;0.062
308;1000;73;0.073
309;1000;75;0.075
310;1000;69;0.069
311;1000;24;0.024
312;1000;76;0.076
313;1000;73;0.073
314;1000;4;0.004
315;1000;25;0.025
316;1000;16;0.016
317;1000;13;0.013
318;1000;77;0.077
319;1000;73;0.073
320;1000;48;0.048
321;1000;66;0.066
322;1000;16;0.016
323;1000;57;0.057
324;1000;17;0.017
325;1000;31;0.031
326;1000;23;0.023
327;1000;76;0.076
328;1000;5;0.005
329;1000;70;0.07
330;1000;20;0.02
331;1000;76;0.076
332;1000;71;0.071
333;1000;70;0.07
334;1000;77;0.077
335;1000;75;0.075
336;1000;9;0.009
337;1000;6;0.006
338;1000;75;0.075
339;1000;85;0.085
340;1000;57;0.057
341;1000;19;0.019
342;1000;82;0.082
343;1000;10;0.01
344;1000;12;0.012
345;1000;84;0.084
346;1000;32;0.032
347;1000;76;0.076
348;1000;68;0.068
349;1000;80;0.08
350;1000;22;0.022
351;1000;12;0.012
352;1000;79;0.079
353;1000;75;0.075
354;1000;6;0.006
355;1000;99;0.099
356;1000;13;0.013
357;1000;75;0.075
358;1000;77;0.077
359;1000;15;0.015
360;1000;81;0.081
361;1000;27;0.027
362;1000;90;0.09
363;1000;6;0.006
364;1000;74;0.074
365;1000;73;0.073
366;1000;79;0.079
367;1000;8;0.008
368;1000;19;0.019
369;1000;2;0.002
370;1000;10;0.01
371;1000;38;0.038
372;1000;34;0.034
373;1000;76;0.076
374;1000;74;0.074
375;1000;8;0.008
376;1000;37;0.037
377;1000;78;0.078
378;1000;91;0.091
379;1000;0;0
380;1000;18;0.018
381;1000;44;0.044
382;1000;48;0.048
383;1000;51;0.051
384;1000;17;0.017
385;1000;76;0.076
386;1000;52;0.052
387;1000;15;0.015
388;1000;49;0.049
389;1000;75;0.075
390;1000;7;0.007
391;1000;71;0.071
392;1000;67;0.067
393;1000;13;0.013
394;1000;74;0.074
395;1000;19;0.019
396;1000;27;0.027
397;1000;88;0.088
398;1000;90;0.09
399;1000;27;0.027
400;1000;9;0.009
401;1000;29;0.029
402;1000;76;0.076
403;1000;88;0.088
404;1000;73;0.073
405;1000;75;0.075
406;1000;76;0.076
407;1000;10;0.01
408;1000;72;0.072
409;1000;74;0.074
410;1000;81;0.081
411;1000;76;0.076
412;1000;89;0.089
413;1000;19;0.019
414;1000;7;0.007
415;1000;30;0.03
416;1000;79;0.079
417;1000;64;0.064
418;1000;15;0.015
419;1000;16;0.016
420;1000;73;0.073
421;1000;54;0.054
422;1000;65;0.065
423;1000;82;0.082
424;1000;27;0.027
425;1000;79;0.079
426;1000;2;0.002
427;1000;71;0.071
428;1000;19;0.019
429;1000;40;0.04
430;1000;15;0.015
431;1000;95;0.095
432;1000;51;0.051
433;1000;42;0.042
434;1000;66;0.066
435;1000;105;0.105
436;1000;24;0.024
437;1000;65;0.065
438;1000;81;0.081
439;1000;74;0.074
440;1000;24;0.024
441;1000;13;0.013
442;1000;72;0.072
443;1000;75;0.075
444;1000;82;0.082
445;1000;6;0.006
446;1000;17;0.017
447;1000;21;0.021
448;1000;15;0.015
449;1000;77;0.077
450;1000;80;0.08
451;1000;71;0.071
452;1000;42;0.042
453;1000;55;0.055
454;1000;31;0.031
455;1000;51;0.051
456;1000;35;0.035
457;1000;79;0.079
458;1000;12;0.012
459;1000;72;0.072
460;1000;1;0.001
461;1000;70;0.07
462;1000;77;0.077
463;1000;61;0.061
464;1000;27;0.027
465;1000;77;0.077
466;1000;12;0.012
467;1000;73;0.073
468;1000;76;0.076
469;1000;26;0.026
470;1000;72;0.072
471;1000;14;0.014
472;1000;68;0.068
473;1000;51;0.051
474;1000;90;0.09
475;1000;59;0.059
476;1000;72;0.072
477;1000;77;0.077
478;1000;73;0.073
479;1000;4;0.004
480;1000;9;0.009
481;1000;52;0.052
482;1000;48;0.048
483;1000;51;0.051
484;1000;19;0.019
485;1000;13;0.013
486;1000;32;0.032
487;1000;1;0.001
488;1000;78;0.078
489;1000;40;0.04
490;1000;76;0.076
491;1000;51;0.051
492;1000;75;0.075
493;1000;80;0.08
494;1000;6;0.006
495;1000;95;0.095
496;1000;35;0.035
497;1000;3;0.003
498;1000;18;0.018
499;1000;87;0.087
500;1000;13;0.013
501;1000;74;0.074
502;1000;76;0.076
503;1000;28;0.028
504;1000;33;0.033
505;1000;71;0.071
506;1000;79;0.079
507;1000;32;0.032
508;1000;11;0.011
509;1000;32;0.032
510;1000;77;0.077
511;1000;82;0.082
512;1000;77;0.077
513;1000;74;0.074
514;1000;5;0.005
515;1000;12;0.012
516;1000;5;0.005
517;1000;1;0.001
518;1000;41;0.041
519;1000;77;0.077
520;1000;88;0.088
521;1000;76;0.076
522;1000;22;0.022
523;1000;4;0.004
524;1000;74;0.074
525;1000;75;0.075
526;1000;75;0.075
527;1000;29;0.029
528;1000;22;0.022
529;1000;55;0.055
530;1000;3;0.003
531;1000;79;0.079
532;1000;26;0.026
533;1000;51;0.051
534;1000;8;0.008
535;1000;76;0.076
536;1000;72;0.072
537;1000;90;0.09
538;1000;78;0.078
539;1000;31;0.031
540;1000;4;0.004
541;1000;10;0.01
542;1000;40;0.04
543;1000;19;0.019
544;1000;4;0.004
545;1000;76;0.076
546;1000;74;0.074
547;1000;8;0.008
548;1000;76;0.076
549;1000;3;0.003
550;1000;74;0.074
551;1000;7;0.007
552;1000;71;0.071
553;1000;33;0.033
554;1000;78;0.078
555;1000;74;0.074
556;1000;80;0.08
557;1000;65;0.065
558;1000;46;0.046
559;1000;21;0.021
560;1000;66;0.066
561;1000;58;0.058
562;1000;21;0.021
563;1000;73;0.073
564;1000;77;0.077
565;1000;16;0.016
566;1000;42;0.042
567;1000;50;0.05
568;1000;53;0.053
569;1000;0;0
570;1000;5;0.005
571;1000;74;0.074
572;1000;8;0.008
573;1000;72;0.072
574;1000;51;0.051
575;1000;75;0.075
576;1000;14;0.014
577;1000;59;0.059
578;1000;8;0.008
579;1000;38;0.038
580;1000;73;0.073
581;1000;5;0.005
582;1000;17;0.017
583;1000;11;0.011
584;1000;22;0.022
585;1000;6;0.006
586;1000;47;0.047
587;1000;16;0.016
588;1000;53;0.053
589;1000;37;0.037
590;1000;71;0.071
591;1000;36;0.036
592;1000;11;0.011
593;1000;34;0.034
594;1000;15;0.015
595;1000;12;0.012
596;1000;29;0.029
597;1000;59;0.059
598;1000;52;0.052
599;1000;83;0.083
600;1000;86;0.086
601;1000;19;0.019
602;1000;55;0.055
603;1000;14;0.014
604;1000;38;0.038
