1;2000;135000;67.5
2;4000;116600;29.15
3;6000;95800;15.9667
4;8000;80900;10.1125
5;10000;182000;18.2
6;12000;89600;7.46667
7;14000;57600;4.11429
8;16000;57500;3.59375
9;18000;60400;3.35556
10;20000;53200;2.66
1;2000;77400;38.7
2;4000;54900;13.725
3;6000;124600;20.7667
4;8000;125000;15.625
5;10000;79600;7.96
6;12000;134600;11.2167
7;14000;85500;6.10714
8;16000;61000;3.8125
9;18000;59100;3.28333
10;20000;84800;4.24
1;2000;103100;51.55
2;4000;94000;23.5
3;6000;42800;7.13333
4;8000;120200;15.025
5;10000;74700;7.47
6;12000;54300;4.525
7;14000;197800;14.1286
8;16000;123900;7.74375
9;18000;59300;3.29444
10;20000;61300;3.065
1;2000;92400;46.2
2;4000;92300;23.075
3;6000;116400;19.4
4;8000;43200;5.4
5;10000;130800;13.08
6;12000;243200;20.2667
7;14000;80400;5.74286
8;16000;144200;9.0125
9;18000;71200;3.95556
10;20000;280900;14.045
1;2000;173700;86.85
2;4000;44400;11.1
3;6000;73200;12.2
4;8000;83100;10.3875
5;10000;137400;13.74
6;12000;69100;5.75833
7;14000;51500;3.67857
8;16000;137400;8.5875
9;18000;222200;12.3444
10;20000;86700;4.335
1;2000;109900;54.95
2;4000;168900;42.225
3;6000;123500;20.5833
4;8000;213900;26.7375
5;10000;82900;8.29
6;12000;94900;7.90833
7;14000;49600;3.54286
8;16000;109800;6.8625
9;18000;156200;8.67778
10;20000;96300;4.815
