1;2000;101900;50.95
2;4000;206000;51.5
3;6000;129500;21.5833
4;8000;204100;25.5125
5;10000;378700;37.87
6;12000;85400;7.11667
7;14000;184300;13.1643
8;16000;174200;10.8875
9;18000;152200;8.45556
10;20000;207500;10.375
1;2000;122000;61
2;4000;142600;35.65
3;6000;321700;53.6167
4;8000;255400;31.925
5;10000;140400;14.04
6;12000;159400;13.2833
7;14000;126000;9
8;16000;141300;8.83125
9;18000;135500;7.52778
10;20000;95600;4.78
1;2000;95500;47.75
2;4000;126600;31.65
3;6000;158800;26.4667
1;2000;120000;60
2;4000;210400;52.6
3;6000;412800;68.8
4;8000;89500;11.1875
5;10000;92800;9.28
6;12000;135600;11.3
7;14000;131100;9.36429
8;16000;168500;10.5312
9;18000;144300;8.01667
10;20000;152500;7.625
