1;2000;301700;150.85
2;4000;297600;74.4
3;6000;345700;57.6167
4;8000;347400;43.425
5;10000;470600;47.06
6;12000;307400;25.6167
7;14000;383100;27.3643
8;16000;379900;23.7437
9;18000;301100;16.7278
10;20000;338300;16.915
1;2000;325300;162.65
2;4000;314500;78.625
3;6000;332100;55.35
4;8000;339200;42.4
5;10000;292600;29.26
6;12000;402700;33.5583
7;14000;326700;23.3357
8;16000;313000;19.5625
9;18000;1052400;58.4667
10;20000;342900;17.145
1;2000;345900;172.95
2;4000;342000;85.5
3;6000;316300;52.7167
4;8000;419100;52.3875
5;10000;344700;34.47
6;12000;331700;27.6417
7;14000;416100;29.7214
8;16000;303700;18.9812
9;18000;493900;27.4389
10;20000;328500;16.425
