1;2000;18731300;9365.65
2;4000;32100100;8025.02
3;6000;45901300;7650.22
4;8000;61360400;7670.05
5;10000;81421100;8142.11
6;12000;86943100;7245.26
7;14000;103541000;7395.79
8;16000;119016600;7438.54
9;18000;118295700;6571.98
10;20000;133276000;6663.8
1;2000;17172900;8586.45
2;4000;28575200;7143.8
3;6000;44269300;7378.22
4;8000;57194600;7149.32
5;10000;72122100;7212.21
6;12000;84096500;7008.04
7;14000;94123200;6723.09
8;16000;109833700;6864.61
9;18000;146534600;8140.81
10;20000;135126700;6756.34
1;2000;17605100;8802.55
2;4000;32079000;8019.75
3;6000;43193400;7198.9
4;8000;68234200;8529.27
5;10000;69624800;6962.48
6;12000;90379600;7531.63
7;14000;99214500;7086.75
8;16000;106578400;6661.15
9;18000;115787500;6432.64
10;20000;147370800;7368.54
