1;2000;621100;310.55
2;4000;719700;179.925
3;6000;585600;97.6
4;8000;778800;97.35
5;10000;770100;77.01
6;12000;730100;60.8417
7;14000;623400;44.5286
8;16000;746700;46.6688
9;18000;711700;39.5389
10;20000;839800;41.99
1;2000;463700;231.85
2;4000;529000;132.25
3;6000;568200;94.7
4;8000;785800;98.225
5;10000;708500;70.85
6;12000;610000;50.8333
7;14000;683100;48.7929
8;16000;654800;40.925
9;18000;655900;36.4389
10;20000;691900;34.595
1;2000;417100;208.55
2;4000;602500;150.625
3;6000;585200;97.5333
1;2000;465800;232.9
2;4000;521900;130.475
3;6000;579400;96.5667
4;8000;632800;79.1
5;10000;622600;62.26
6;12000;647700;53.975
7;14000;670300;47.8786
8;16000;712800;44.55
9;18000;654000;36.3333
10;20000;661000;33.05
