1;2000;294700;147.35
2;4000;444700;111.175
3;6000;310900;51.8167
4;8000;402400;50.3
5;10000;486300;48.63
6;12000;491700;40.975
7;14000;449700;32.1214
8;16000;357000;22.3125
9;18000;311100;17.2833
10;20000;796600;39.83
1;2000;436300;218.15
2;4000;382100;95.525
3;6000;291100;48.5167
4;8000;334700;41.8375
5;10000;301200;30.12
6;12000;285600;23.8
7;14000;485300;34.6643
8;16000;361100;22.5688
9;18000;351700;19.5389
10;20000;363600;18.18
1;2000;339100;169.55
2;4000;342900;85.725
3;6000;559700;93.2833
1;2000;310000;155
2;4000;659100;164.775
3;6000;329900;54.9833
4;8000;278200;34.775
5;10000;286100;28.61
6;12000;501200;41.7667
7;14000;385600;27.5429
8;16000;386100;24.1313
9;18000;395500;21.9722
10;20000;355700;17.785
