1;2000;16690700;8345.35
2;4000;30454100;7613.52
3;6000;45136900;7522.82
4;8000;69873900;8734.24
5;10000;88712500;8871.25
6;12000;85908400;7159.03
7;14000;101894600;7278.19
8;16000;111210700;6950.67
9;18000;130950100;7275.01
10;20000;151539800;7576.99
1;2000;16397600;8198.8
2;4000;32145100;8036.27
3;6000;45038900;7506.48
4;8000;70274400;8784.3
5;10000;73451000;7345.1
6;12000;82035800;6836.32
7;14000;96577600;6898.4
8;16000;106524400;6657.77
9;18000;116227400;6457.08
10;20000;132904000;6645.2
1;2000;16427800;8213.9
2;4000;30126400;7531.6
3;6000;42719900;7119.98
1;2000;17405100;8702.55
2;4000;39374400;9843.6
3;6000;44185800;7364.3
4;8000;61265300;7658.16
5;10000;72739400;7273.94
6;12000;81273600;6772.8
7;14000;96840100;6917.15
8;16000;112047000;7002.94
9;18000;117199700;6511.09
10;20000;150257800;7512.89
