1;2000;18126800;9063.4
2;4000;31267000;7816.75
3;6000;50961000;8493.5
4;8000;58926800;7365.85
5;10000;77305800;7730.58
6;12000;87629300;7302.44
7;14000;97064100;6933.15
8;16000;110434400;6902.15
9;18000;122949400;6830.52
10;20000;141191500;7059.57
1;2000;16022600;8011.3
2;4000;30706400;7676.6
3;6000;45449900;7574.98
4;8000;60905200;7613.15
5;10000;70640900;7064.09
6;12000;83215500;6934.62
7;14000;92925900;6637.56
8;16000;107462700;6716.42
9;18000;136183200;7565.73
10;20000;133407400;6670.37
1;2000;18529100;9264.55
2;4000;30782500;7695.62
3;6000;49363400;8227.23
4;8000;58273000;7284.12
5;10000;70618000;7061.8
6;12000;84693300;7057.77
7;14000;96860100;6918.58
8;16000;108223100;6763.94
9;18000;118440000;6580
10;20000;133524000;6676.2
