pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
75;1000000;216;0,000216;;75;1000000;269;0,000269;;75;1000000;167;0,000167
76;1000000;239;0,000239;;76;1000000;254;0,000254;;76;1000000;162;0,000162
77;1000000;210;0,00021;;77;1000000;287;0,000287;;77;1000000;153;0,000153
78;1000000;165;0,000165;;78;1000000;287;0,000287;;78;1000000;156;0,000156
79;1000000;178;0,000178;;79;1000000;277;0,000277;;79;1000000;150;0,00015
80;1000000;144;0,000144;;80;1000000;273;0,000273;;80;1000000;157;0,000157
81;1000000;145;0,000145;;81;1000000;279;0,000279;;81;1000000;162;0,000162
82;1000000;153;0,000153;;82;1000000;290;0,00029;;82;1000000;170;0,00017
83;1000000;154;0,000154;;83;1000000;275;0,000275;;83;1000000;160;0,00016
84;1000000;152;0,000152;;84;1000000;272;0,000272;;84;1000000;164;0,000164
85;1000000;161;0,000161;;85;1000000;249;0,000249;;85;1000000;164;0,000164
86;1000000;151;0,000151;;86;1000000;249;0,000249;;86;1000000;169;0,000169
87;1000000;151;0,000151;;87;1000000;262;0,000262;;87;1000000;175;0,000175
88;1000000;167;0,000167;;88;1000000;246;0,000246;;88;1000000;179;0,000179
89;1000000;194;0,000194;;89;1000000;255;0,000255;;89;1000000;197;0,000197
90;1000000;192;0,000192;;90;1000000;302;0,000302;;90;1000000;217;0,000217
91;1000000;176;0,000176;;91;1000000;268;0,000268;;91;1000000;241;0,000241
92;1000000;202;0,000202;;92;1000000;208;0,000208;;92;1000000;249;0,000249
93;1000000;164;0,000164;;93;1000000;150;0,00015;;93;1000000;225;0,000225
94;1000000;183;0,000183;;94;1000000;157;0,000157;;94;1000000;275;0,000275
95;1000000;177;0,000177;;95;1000000;146;0,000146;;95;1000000;271;0,000271
96;1000000;166;0,000166;;96;1000000;157;0,000157;;96;1000000;334;0,000334
97;1000000;162;0,000162;;97;1000000;171;0,000171;;97;1000000;269;0,000269
98;1000000;177;0,000177;;98;1000000;166;0,000166;;98;1000000;259;0,000259
99;1000000;143;0,000143;;99;1000000;182;0,000182;;99;1000000;213;0,000213
100;1000000;151;0,000151;;100;1000000;145;0,000145;;100;1000000;241;0,000241
101;1000000;172;0,000172;;101;1000000;157;0,000157;;101;1000000;241;0,000241
102;1000000;166;0,000166;;102;1000000;154;0,000154;;102;1000000;221;0,000221
103;1000000;176;0,000176;;103;1000000;183;0,000183;;103;1000000;240;0,00024
104;1000000;151;0,000151;;104;1000000;159;0,000159;;104;1000000;227;0,000227
105;1000000;165;0,000165;;105;1000000;150;0,00015;;105;1000000;270;0,00027
106;1000000;166;0,000166;;106;1000000;163;0,000163;;106;1000000;224;0,000224
107;1000000;159;0,000159;;107;1000000;164;0,000164;;107;1000000;233;0,000233
108;1000000;152;0,000152;;108;1000000;183;0,000183;;108;1000000;216;0,000216
109;1000000;153;0,000153;;109;1000000;199;0,000199;;109;1000000;226;0,000226
110;1000000;150;0,00015;;110;1000000;148;0,000148;;110;1000000;285;0,000285
111;1000000;128;0,000128;;111;1000000;154;0,000154;;111;1000000;281;0,000281
112;1000000;125;0,000125;;112;1000000;276;0,000276;;112;1000000;305;0,000305
113;1000000;159;0,000159;;113;1000000;277;0,000277;;113;1000000;202;0,000202
114;1000000;153;0,000153;;114;1000000;245;0,000245;;114;1000000;435;0,000435
115;1000000;128;0,000128;;115;1000000;328;0,000328;;115;1000000;254;0,000254
116;1000000;124;0,000124;;116;1000000;312;0,000312;;116;1000000;219;0,000219
117;1000000;116;0,000116;;117;1000000;256;0,000256;;117;1000000;238;0,000238
118;1000000;124;0,000124;;118;1000000;282;0,000282;;118;1000000;219;0,000219
119;1000000;112;0,000112;;119;1000000;215;0,000215;;119;1000000;225;0,000225
120;1000000;133;0,000133;;120;1000000;237;0,000237;;120;1000000;212;0,000212
121;1000000;131;0,000131;;121;1000000;263;0,000263;;121;1000000;252;0,000252
122;1000000;133;0,000133;;122;1000000;268;0,000268;;122;1000000;225;0,000225
123;1000000;117;0,000117;;123;1000000;235;0,000235;;123;1000000;232;0,000232
124;1000000;136;0,000136;;124;1000000;214;0,000214;;124;1000000;281;0,000281
125;1000000;172;0,000172;;125;1000000;202;0,000202;;125;1000000;235;0,000235
126;1000000;162;0,000162;;126;1000000;226;0,000226;;126;1000000;224;0,000224
127;1000000;139;0,000139;;127;1000000;264;0,000264;;127;1000000;247;0,000247
128;1000000;145;0,000145;;128;1000000;187;0,000187;;128;1000000;199;0,000199
129;1000000;146;0,000146;;129;1000000;207;0,000207;;129;1000000;202;0,000202
130;1000000;188;0,000188;;130;1000000;184;0,000184;;130;1000000;225;0,000225
131;1000000;152;0,000152;;131;1000000;204;0,000204;;131;1000000;211;0,000211
132;1000000;162;0,000162;;132;1000000;191;0,000191;;132;1000000;189;0,000189
133;1000000;131;0,000131;;133;1000000;178;0,000178;;133;1000000;188;0,000188
134;1000000;116;0,000116;;134;1000000;195;0,000195;;134;1000000;221;0,000221
135;1000000;130;0,00013;;135;1000000;188;0,000188;;135;1000000;227;0,000227
136;1000000;186;0,000186;;136;1000000;183;0,000183;;136;1000000;220;0,00022
137;1000000;173;0,000173;;137;1000000;173;0,000173;;137;1000000;188;0,000188
138;1000000;120;0,00012;;138;1000000;202;0,000202;;138;1000000;230;0,00023
139;1000000;121;0,000121;;139;1000000;169;0,000169;;139;1000000;217;0,000217
140;1000000;139;0,000139;;140;1000000;168;0,000168;;140;1000000;272;0,000272
141;1000000;137;0,000137;;141;1000000;189;0,000189;;141;1000000;269;0,000269
142;1000000;153;0,000153;;142;1000000;179;0,000179;;142;1000000;251;0,000251
143;1000000;173;0,000173;;143;1000000;181;0,000181;;143;1000000;206;0,000206
144;1000000;158;0,000158;;144;1000000;188;0,000188;;144;1000000;260;0,00026
145;1000000;145;0,000145;;145;1000000;159;0,000159;;145;1000000;192;0,000192
146;1000000;132;0,000132;;146;1000000;174;0,000174;;146;1000000;256;0,000256
147;1000000;116;0,000116;;147;1000000;168;0,000168;;147;1000000;214;0,000214
