1;2000;367400;183.7
2;4000;560700;140.175
3;6000;534200;89.0333
4;8000;549000;68.625
5;10000;838000;83.8
6;12000;552200;46.0167
7;14000;576300;41.1643
8;16000;722900;45.1812
9;18000;749900;41.6611
10;20000;659800;32.99
1;2000;401200;200.6
2;4000;463500;115.875
3;6000;518300;86.3833
4;8000;637200;79.65
5;10000;662400;66.24
6;12000;647200;53.9333
7;14000;552000;39.4286
8;16000;704100;44.0063
9;18000;1073700;59.65
10;20000;596400;29.82
1;2000;449600;224.8
2;4000;563100;140.775
3;6000;638100;106.35
4;8000;704300;88.0375
5;10000;561800;56.18
6;12000;592200;49.35
7;14000;596000;42.5714
8;16000;681300;42.5812
9;18000;780800;43.3778
10;20000;641100;32.055
