pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
287;1000;84;0.084
288;1000;76;0.076
289;1000;68;0.068
290;1000;97;0.097
291;1000;77;0.077
292;1000;53;0.053
293;1000;95;0.095
294;1000;37;0.037
295;1000;33;0.033
296;1000;64;0.064
297;1000;19;0.019
298;1000;12;0.012
299;1000;70;0.07
300;1000;38;0.038
301;1000;19;0.019
302;1000;35;0.035
303;1000;30;0.03
304;1000;15;0.015
305;1000;15;0.015
306;1000;85;0.085
307;1000;64;0.064
308;1000;6;0.006
309;1000;18;0.018
310;1000;18;0.018
311;1000;52;0.052
312;1000;36;0.036
313;1000;38;0.038
314;1000;60;0.06
315;1000;97;0.097
316;1000;74;0.074
317;1000;116;0.116
318;1000;110;0.11
319;1000;61;0.061
320;1000;0;0
321;1000;69;0.069
322;1000;85;0.085
323;1000;80;0.08
324;1000;50;0.05
325;1000;6;0.006
326;1000;47;0.047
327;1000;40;0.04
328;1000;64;0.064
329;1000;40;0.04
330;1000;89;0.089
331;1000;81;0.081
332;1000;54;0.054
333;1000;31;0.031
334;1000;61;0.061
335;1000;19;0.019
336;1000;55;0.055
337;1000;21;0.021
338;1000;11;0.011
339;1000;82;0.082
340;1000;103;0.103
341;1000;85;0.085
342;1000;3;0.003
343;1000;11;0.011
344;1000;10;0.01
345;1000;100;0.1
346;1000;115;0.115
347;1000;67;0.067
348;1000;44;0.044
349;1000;67;0.067
350;1000;102;0.102
351;1000;34;0.034
352;1000;27;0.027
353;1000;20;0.02
354;1000;82;0.082
355;1000;45;0.045
356;1000;49;0.049
357;1000;54;0.054
358;1000;93;0.093
359;1000;26;0.026
360;1000;40;0.04
361;1000;7;0.007
362;1000;58;0.058
363;1000;97;0.097
364;1000;24;0.024
365;1000;56;0.056
366;1000;36;0.036
367;1000;78;0.078
368;1000;61;0.061
369;1000;29;0.029
370;1000;3;0.003
371;1000;3;0.003
372;1000;12;0.012
373;1000;60;0.06
374;1000;85;0.085
375;1000;4;0.004
376;1000;70;0.07
377;1000;18;0.018
378;1000;39;0.039
379;1000;7;0.007
380;1000;16;0.016
381;1000;92;0.092
382;1000;42;0.042
383;1000;6;0.006
384;1000;75;0.075
385;1000;45;0.045
386;1000;57;0.057
387;1000;12;0.012
388;1000;66;0.066
389;1000;93;0.093
390;1000;103;0.103
391;1000;101;0.101
392;1000;3;0.003
393;1000;111;0.111
394;1000;68;0.068
395;1000;83;0.083
396;1000;20;0.02
397;1000;80;0.08
398;1000;53;0.053
399;1000;19;0.019
400;1000;46;0.046
401;1000;18;0.018
402;1000;70;0.07
403;1000;25;0.025
404;1000;34;0.034
405;1000;7;0.007
406;1000;120;0.12
407;1000;33;0.033
408;1000;62;0.062
409;1000;8;0.008
410;1000;25;0.025
411;1000;25;0.025
412;1000;92;0.092
413;1000;49;0.049
414;1000;105;0.105
415;1000;36;0.036
416;1000;20;0.02
417;1000;29;0.029
418;1000;75;0.075
419;1000;81;0.081
420;1000;111;0.111
421;1000;2;0.002
422;1000;31;0.031
423;1000;108;0.108
424;1000;86;0.086
425;1000;14;0.014
426;1000;16;0.016
427;1000;5;0.005
428;1000;51;0.051
429;1000;53;0.053
430;1000;24;0.024
431;1000;101;0.101
432;1000;26;0.026
433;1000;11;0.011
434;1000;31;0.031
435;1000;14;0.014
436;1000;15;0.015
437;1000;83;0.083
438;1000;55;0.055
439;1000;76;0.076
440;1000;51;0.051
441;1000;24;0.024
442;1000;44;0.044
443;1000;119;0.119
444;1000;27;0.027
445;1000;66;0.066
446;1000;50;0.05
447;1000;3;0.003
448;1000;55;0.055
449;1000;109;0.109
450;1000;81;0.081
451;1000;21;0.021
452;1000;9;0.009
453;1000;55;0.055
454;1000;63;0.063
455;1000;91;0.091
456;1000;65;0.065
457;1000;31;0.031
458;1000;82;0.082
459;1000;42;0.042
460;1000;36;0.036
461;1000;117;0.117
462;1000;63;0.063
463;1000;18;0.018
464;1000;74;0.074
465;1000;67;0.067
466;1000;129;0.129
467;1000;36;0.036
468;1000;98;0.098
469;1000;12;0.012
470;1000;30;0.03
471;1000;21;0.021
472;1000;17;0.017
473;1000;14;0.014
474;1000;55;0.055
475;1000;108;0.108
476;1000;8;0.008
477;1000;31;0.031
478;1000;60;0.06
479;1000;89;0.089
480;1000;126;0.126
481;1000;53;0.053
482;1000;56;0.056
483;1000;38;0.038
484;1000;32;0.032
485;1000;29;0.029
486;1000;64;0.064
487;1000;112;0.112
488;1000;119;0.119
489;1000;93;0.093
490;1000;83;0.083
491;1000;1;0.001
492;1000;94;0.094
493;1000;116;0.116
494;1000;28;0.028
495;1000;29;0.029
496;1000;112;0.112
497;1000;79;0.079
498;1000;79;0.079
499;1000;40;0.04
500;1000;21;0.021
501;1000;73;0.073
502;1000;2;0.002
503;1000;77;0.077
504;1000;109;0.109
505;1000;30;0.03
506;1000;115;0.115
507;1000;103;0.103
508;1000;2;0.002
509;1000;5;0.005
510;1000;125;0.125
511;1000;52;0.052
512;1000;45;0.045
513;1000;49;0.049
514;1000;73;0.073
515;1000;77;0.077
516;1000;124;0.124
517;1000;77;0.077
518;1000;44;0.044
519;1000;64;0.064
520;1000;15;0.015
521;1000;33;0.033
522;1000;50;0.05
523;1000;67;0.067
524;1000;108;0.108
