1;2000;32600;16.3
2;4000;99500;24.875
3;6000;54800;9.13333
4;8000;80200;10.025
5;10000;70100;7.01
6;12000;51400;4.28333
7;14000;54500;3.89286
8;16000;28000;1.75
9;18000;42600;2.36667
10;20000;56000;2.8
1;2000;35000;17.5
2;4000;34500;8.625
3;6000;21900;3.65
4;8000;81200;10.15
5;10000;33100;3.31
6;12000;21600;1.8
7;14000;33400;2.38571
8;16000;26200;1.6375
9;18000;30900;1.71667
10;20000;24600;1.23
1;2000;39000;19.5
2;4000;49400;12.35
3;6000;41600;6.93333
1;2000;41500;20.75
2;4000;48400;12.1
3;6000;66200;11.0333
4;8000;22300;2.7875
5;10000;21900;2.19
6;12000;74100;6.175
7;14000;21100;1.50714
8;16000;24700;1.54375
9;18000;41600;2.31111
10;20000;38500;1.925
